Site,geo_index,Year,0
OSBS,400000_3285000,2018,24404
OSBS,407000_3279000,2019,27467
WREF,583000_5078000,2019,33163
WREF,576000_5073000,2019,30091
WREF,575000_5070000,2018,22920
BONA,469000_7232000,2019,74697
SOAP,298000_4101000,2018,15890
BONA,478000_7226000,2018,153
BONA,471000_7234000,2019,2097
TEAK,324000_4107000,2018,139
BART,313000_4880000,2018,47447
BART,314000_4878000,2018,47368
WREF,584000_5077000,2018,21842
BONA,476000_7226000,2018,30584
TEAK,315000_4097000,2018,16286
DELA,428000_3597000,2019,7551
TEAK,314000_4095000,2019,20620
BONA,474000_7224000,2018,25560
SOAP,303000_4100000,2019,21365
BART,319000_4876000,2019,36932
SOAP,298000_4101000,2019,21874
TEAK,320000_4107000,2019,4868
TEAK,313000_4092000,2018,17436
BONA,475000_7222000,2018,40579
OSBS,399000_3284000,2019,25030
SOAP,295000_4103000,2018,14223
TEAK,321000_4097000,2018,24385
BONA,473000_7234000,2019,36975
SOAP,293000_4100000,2019,14321
BONA,474000_7223000,2018,53409
OSBS,400000_3277000,2018,19828
TEAK,313000_4102000,2018,15499
SOAP,298000_4108000,2019,21748
TEAK,316000_4102000,2019,8707
DELA,423000_3597000,2019,11527
BONA,481000_7223000,2019,2073
BONA,481000_7232000,2018,75288
WREF,581000_5079000,2018,30889
DELA,426000_3599000,2019,34464
BART,317000_4879000,2019,39077
SOAP,295000_4101000,2019,22373
OSBS,399000_3288000,2018,39922
BART,318000_4881000,2019,38522
WREF,574000_5079000,2019,38621
BONA,477000_7223000,2019,32789
WREF,573000_5070000,2018,20349
BONA,472000_7228000,2019,69684
OSBS,410000_3278000,2019,28217
SOAP,295000_4097000,2018,7691
WREF,583000_5073000,2019,24497
OSBS,405000_3280000,2018,27665
BART,317000_4882000,2018,28931
BART,321000_4879000,2018,45414
OSBS,404000_3284000,2019,23773
OSBS,402000_3284000,2019,24469
BART,319000_4878000,2019,60868
WREF,578000_5080000,2019,29162
WREF,574000_5081000,2018,19329
BONA,474000_7231000,2018,61785
DELA,426000_3604000,2019,26602
OSBS,402000_3287000,2018,13325
DELA,425000_3605000,2019,18553
DELA,420000_3604000,2019,39301
OSBS,403000_3288000,2019,23058
BONA,474000_7225000,2019,33349
WREF,581000_5079000,2019,40941
DELA,422000_3605000,2019,38832
BONA,478000_7227000,2019,10485
DELA,425000_3600000,2019,31716
DELA,422000_3599000,2019,21854
BONA,475000_7228000,2019,41446
SOAP,296000_4097000,2019,20098
SOAP,302000_4097000,2018,18389
OSBS,408000_3288000,2018,24954
BART,315000_4874000,2018,29449
TEAK,315000_4105000,2018,17719
BART,318000_4879000,2019,42369
BONA,476000_7229000,2019,40235
TEAK,323000_4096000,2019,13986
SOAP,301000_4105000,2019,26090
WREF,584000_5075000,2018,23639
TEAK,324000_4101000,2018,9048
TEAK,322000_4092000,2019,17920
SOAP,298000_4106000,2019,27705
WREF,577000_5081000,2018,17631
TEAK,321000_4101000,2018,14044
WREF,582000_5076000,2018,14166
WREF,578000_5071000,2019,35358
SOAP,295000_4096000,2019,31521
WREF,581000_5080000,2018,32261
BART,316000_4881000,2018,37295
BONA,478000_7234000,2018,41540
BONA,474000_7230000,2019,41604
BONA,477000_7224000,2019,17399
OSBS,406000_3281000,2019,30590
TEAK,317000_4094000,2018,12933
BONA,482000_7224000,2018,2429
SOAP,301000_4099000,2018,17601
OSBS,398000_3284000,2019,34417
OSBS,396000_3285000,2019,33477
SOAP,299000_4105000,2019,23510
OSBS,405000_3280000,2019,36738
WREF,574000_5074000,2018,26682
TEAK,316000_4095000,2019,22176
BONA,479000_7234000,2018,18732
SOAP,299000_4106000,2019,23613
OSBS,403000_3289000,2019,23072
OSBS,400000_3286000,2019,25595
TEAK,320000_4099000,2018,16498
BONA,473000_7229000,2018,66148
OSBS,406000_3286000,2018,24694
WREF,578000_5081000,2018,21480
BART,317000_4877000,2018,40211
BONA,480000_7229000,2018,7923
WREF,572000_5070000,2018,20695
BONA,476000_7232000,2018,73034
SOAP,300000_4096000,2019,39510
TEAK,313000_4104000,2018,18626
TEAK,313000_4096000,2018,17574
OSBS,403000_3277000,2018,17099
BART,317000_4876000,2018,36484
SOAP,300000_4103000,2018,14386
BONA,469000_7228000,2019,68690
TEAK,313000_4093000,2019,20039
TEAK,322000_4105000,2018,13042
TEAK,316000_4104000,2018,18596
WREF,582000_5074000,2018,20177
SOAP,299000_4102000,2019,20184
SOAP,297000_4102000,2019,14291
DELA,427000_3597000,2019,15839
SOAP,294000_4097000,2018,28305
OSBS,396000_3284000,2018,22216
TEAK,322000_4099000,2018,17171
TEAK,322000_4094000,2019,6870
TEAK,319000_4098000,2018,18896
BONA,473000_7226000,2019,43113
SOAP,297000_4105000,2019,32351
WREF,576000_5077000,2019,31448
WREF,580000_5080000,2019,33602
SOAP,300000_4102000,2019,18764
TEAK,314000_4091000,2018,16403
WREF,583000_5071000,2018,17064
BONA,469000_7227000,2018,54301
DELA,420000_3602000,2019,28087
WREF,579000_5078000,2018,26571
BART,318000_4879000,2018,35846
BONA,481000_7231000,2018,32033
BONA,483000_7234000,2019,7054
OSBS,405000_3282000,2019,24397
SOAP,298000_4096000,2018,9688
TEAK,314000_4099000,2019,26029
WREF,582000_5071000,2018,20600
BONA,475000_7230000,2019,16612
BART,316000_4878000,2019,44767
BONA,473000_7227000,2018,28434
WREF,592000_5076000,2018,24321
BONA,473000_7233000,2019,34089
BART,320000_4876000,2018,32794
BONA,479000_7227000,2019,5194
BONA,481000_7229000,2018,18972
BONA,473000_7224000,2018,26794
SOAP,305000_4108000,2019,6569
BONA,476000_7233000,2018,52535
OSBS,399000_3286000,2019,28567
OSBS,397000_3286000,2019,43862
TEAK,322000_4097000,2018,19738
WREF,578000_5071000,2018,28477
OSBS,402000_3284000,2018,23696
OSBS,407000_3286000,2018,29548
SOAP,303000_4105000,2019,15651
BONA,479000_7228000,2018,12705
SOAP,295000_4104000,2018,13696
TEAK,314000_4096000,2019,22326
WREF,576000_5081000,2019,23054
BONA,474000_7232000,2018,33338
BONA,471000_7225000,2018,19155
BART,318000_4878000,2018,42797
SOAP,294000_4106000,2019,18563
BART,319000_4882000,2019,35117
WREF,577000_5082000,2018,21315
OSBS,397000_3287000,2018,13820
TEAK,316000_4101000,2019,6569
OSBS,398000_3285000,2018,12200
BONA,483000_7224000,2019,10829
BONA,481000_7233000,2019,43554
BART,321000_4873000,2019,35763
WREF,580000_5082000,2018,28459
OSBS,406000_3284000,2018,19923
WREF,583000_5072000,2018,10317
WREF,582000_5081000,2018,20094
DELA,424000_3598000,2019,17545
WREF,579000_5079000,2018,20039
WREF,575000_5077000,2018,30820
BART,313000_4878000,2018,38028
TEAK,317000_4100000,2019,22651
TEAK,323000_4094000,2019,6805
BONA,470000_7234000,2018,775
TEAK,315000_4093000,2019,20405
BONA,474000_7227000,2018,26543
WREF,573000_5076000,2018,29919
BONA,477000_7231000,2019,27469
TEAK,315000_4106000,2019,14391
BONA,476000_7224000,2019,40647
BONA,471000_7222000,2019,51350
BONA,472000_7233000,2019,87561
WREF,583000_5074000,2019,22038
WREF,593000_5075000,2019,41689
OSBS,405000_3291000,2018,15689
TEAK,318000_4096000,2019,17852
TEAK,315000_4105000,2019,21403
WREF,574000_5078000,2019,18323
WREF,582000_5082000,2018,22133
WREF,579000_5071000,2019,31773
WREF,581000_5078000,2019,30594
SOAP,295000_4100000,2018,12106
SOAP,300000_4097000,2018,8327
OSBS,400000_3287000,2019,32134
SOAP,302000_4099000,2019,23100
OSBS,400000_3287000,2018,23395
BONA,473000_7231000,2018,52530
SOAP,295000_4103000,2019,19506
BONA,481000_7224000,2019,7394
SOAP,293000_4102000,2019,23450
TEAK,321000_4103000,2018,16778
TEAK,319000_4091000,2018,14962
SOAP,298000_4099000,2019,26521
WREF,579000_5072000,2019,33356
OSBS,399000_3281000,2018,15132
BONA,481000_7227000,2018,1950
BONA,472000_7227000,2018,75940
DELA,419000_3597000,2019,11994
DELA,423000_3600000,2019,27164
TEAK,313000_4091000,2018,18265
BONA,470000_7233000,2018,52080
TEAK,323000_4091000,2018,16764
WREF,591000_5075000,2019,41775
WREF,583000_5080000,2019,38474
TEAK,321000_4098000,2018,18799
BART,314000_4876000,2018,32412
SOAP,295000_4104000,2019,16764
BONA,470000_7232000,2019,49940
WREF,574000_5077000,2018,35975
OSBS,409000_3287000,2019,16681
TEAK,322000_4101000,2018,22132
WREF,580000_5075000,2019,31954
BART,319000_4875000,2018,38798
WREF,571000_5074000,2018,23730
WREF,574000_5080000,2018,30099
TEAK,324000_4102000,2019,8125
WREF,575000_5073000,2019,29959
WREF,592000_5078000,2018,24103
SOAP,300000_4108000,2019,22267
SOAP,303000_4104000,2019,19443
BART,315000_4881000,2018,36332
DELA,422000_3604000,2019,43291
OSBS,398000_3282000,2018,6468
OSBS,402000_3285000,2018,24466
OSBS,396000_3286000,2019,32139
BONA,476000_7225000,2019,15897
BART,322000_4875000,2019,38724
BART,315000_4877000,2018,53265
TEAK,315000_4096000,2019,18735
WREF,588000_5077000,2019,39763
TEAK,314000_4095000,2018,15902
BONA,483000_7232000,2019,6292
TEAK,318000_4101000,2018,15862
BART,318000_4881000,2018,32627
TEAK,316000_4094000,2018,11230
SOAP,294000_4096000,2018,25578
BART,313000_4878000,2019,41989
OSBS,403000_3288000,2018,20082
WREF,583000_5082000,2018,22649
SOAP,301000_4100000,2019,27076
WREF,591000_5078000,2018,22670
TEAK,318000_4093000,2019,22619
TEAK,319000_4104000,2018,12210
TEAK,319000_4096000,2019,33436
TEAK,316000_4103000,2019,16965
TEAK,315000_4092000,2019,14780
BONA,472000_7223000,2018,47880
OSBS,405000_3279000,2019,37331
WREF,575000_5073000,2018,24398
TEAK,319000_4092000,2019,20171
BONA,478000_7231000,2019,30447
BONA,481000_7225000,2019,54481
WREF,592000_5075000,2019,43920
BONA,483000_7225000,2019,16562
BONA,473000_7231000,2019,46247
WREF,574000_5080000,2019,38100
WREF,581000_5071000,2018,22052
TEAK,317000_4103000,2019,10058
BART,316000_4876000,2019,45828
SOAP,303000_4104000,2018,15890
OSBS,409000_3288000,2019,29197
BART,322000_4878000,2019,57426
DELA,421000_3606000,2019,49723
OSBS,407000_3290000,2019,36992
WREF,575000_5075000,2018,24910
OSBS,409000_3284000,2018,19542
TEAK,316000_4099000,2019,18293
DELA,424000_3602000,2019,28134
WREF,574000_5077000,2019,43595
BONA,482000_7223000,2019,759
OSBS,401000_3286000,2018,23092
OSBS,406000_3281000,2018,16274
BONA,478000_7232000,2019,79696
DELA,421000_3602000,2019,16137
OSBS,407000_3287000,2019,34519
BONA,481000_7230000,2019,21963
DELA,426000_3598000,2019,12089
OSBS,399000_3289000,2019,44881
WREF,592000_5077000,2018,22363
BONA,481000_7234000,2018,9829
WREF,577000_5073000,2018,31979
BONA,472000_7225000,2018,28848
OSBS,400000_3286000,2018,19698
BONA,482000_7232000,2019,16760
TEAK,321000_4097000,2019,31947
SOAP,300000_4100000,2019,19859
WREF,577000_5077000,2018,31430
OSBS,399000_3280000,2019,23012
WREF,582000_5077000,2018,18515
WREF,575000_5074000,2019,36146
BONA,482000_7222000,2018,2424
OSBS,403000_3281000,2019,27789
OSBS,400000_3283000,2018,26158
BONA,480000_7230000,2019,22477
BONA,483000_7230000,2019,6468
WREF,576000_5072000,2018,21791
OSBS,397000_3287000,2019,22408
TEAK,319000_4105000,2018,16533
OSBS,401000_3285000,2019,28117
OSBS,398000_3287000,2019,18426
OSBS,404000_3285000,2018,21587
TEAK,319000_4092000,2018,15586
OSBS,405000_3290000,2019,22973
BART,317000_4874000,2018,34840
SOAP,302000_4103000,2018,24823
SOAP,303000_4097000,2018,11289
TEAK,316000_4093000,2019,15591
SOAP,295000_4098000,2018,7332
WREF,578000_5075000,2019,38643
BART,314000_4882000,2019,40658
TEAK,317000_4107000,2019,1477
WREF,583000_5079000,2018,20495
TEAK,321000_4107000,2018,11719
BONA,470000_7229000,2018,61479
WREF,578000_5076000,2018,29226
WREF,583000_5076000,2018,18175
WREF,575000_5076000,2018,25812
BONA,476000_7230000,2018,17088
TEAK,320000_4092000,2019,16078
SOAP,302000_4101000,2018,16784
TEAK,317000_4092000,2019,19581
BONA,474000_7229000,2018,49399
OSBS,409000_3281000,2018,30504
BONA,475000_7224000,2019,23850
BART,315000_4882000,2018,29188
BONA,472000_7231000,2019,58975
BART,314000_4880000,2018,39264
SOAP,302000_4097000,2019,22582
BONA,469000_7233000,2019,52915
BONA,470000_7222000,2019,33935
WREF,575000_5080000,2019,33581
OSBS,407000_3283000,2018,23374
SOAP,300000_4096000,2018,10023
WREF,574000_5073000,2018,25196
WREF,577000_5074000,2019,34974
OSBS,405000_3281000,2018,26067
WREF,573000_5082000,2018,16956
TEAK,316000_4104000,2019,17788
WREF,590000_5077000,2018,21453
BONA,470000_7231000,2018,38288
BONA,477000_7227000,2018,43167
BART,315000_4875000,2018,31826
OSBS,404000_3281000,2019,40464
WREF,576000_5076000,2018,36580
OSBS,400000_3276000,2019,51718
TEAK,320000_4098000,2019,25808
OSBS,402000_3288000,2019,5259
BONA,469000_7223000,2019,69288
TEAK,317000_4106000,2019,6061
BART,320000_4878000,2019,47147
SOAP,294000_4099000,2019,19497
SOAP,305000_4099000,2019,22582
TEAK,320000_4105000,2019,10251
BONA,482000_7233000,2019,14879
OSBS,406000_3291000,2019,32769
SOAP,304000_4106000,2019,9922
BONA,475000_7233000,2018,28924
WREF,571000_5070000,2018,25029
OSBS,402000_3277000,2018,24606
TEAK,313000_4105000,2018,13233
DELA,426000_3601000,2019,16293
BART,319000_4874000,2019,44656
WREF,583000_5079000,2019,28171
SOAP,296000_4103000,2019,16399
OSBS,406000_3280000,2019,27272
WREF,576000_5076000,2019,46231
OSBS,409000_3281000,2019,41181
BONA,473000_7222000,2019,48085
BONA,477000_7225000,2019,9059
TEAK,315000_4103000,2019,15063
BART,313000_4875000,2018,38268
DELA,427000_3602000,2019,12797
BONA,478000_7232000,2018,83742
BART,316000_4880000,2019,38754
WREF,577000_5079000,2019,39033
SOAP,298000_4100000,2019,21067
SOAP,295000_4097000,2019,23436
TEAK,316000_4106000,2018,10544
SOAP,294000_4098000,2018,12201
TEAK,314000_4093000,2018,14347
DELA,425000_3599000,2019,29005
OSBS,407000_3291000,2019,33839
WREF,582000_5076000,2019,18224
BART,315000_4879000,2019,38906
OSBS,397000_3282000,2018,1067
SOAP,299000_4096000,2018,13751
DELA,424000_3597000,2019,21052
SOAP,300000_4104000,2019,28080
SOAP,301000_4102000,2019,28560
BONA,481000_7229000,2019,22856
BONA,475000_7234000,2019,28750
TEAK,323000_4095000,2019,9411
OSBS,399000_3278000,2019,22783
TEAK,320000_4093000,2018,14427
BONA,483000_7226000,2019,47051
TEAK,320000_4100000,2018,11518
OSBS,401000_3282000,2019,23868
SOAP,294000_4097000,2019,38393
TEAK,324000_4096000,2019,9163
WREF,580000_5078000,2019,27175
WREF,576000_5071000,2019,28464
OSBS,397000_3282000,2019,1401
WREF,577000_5073000,2019,40242
TEAK,314000_4099000,2018,19620
BONA,472000_7230000,2019,33741
WREF,593000_5077000,2019,45800
TEAK,323000_4092000,2019,18233
TEAK,320000_4094000,2019,26460
WREF,581000_5080000,2019,42206
DELA,425000_3604000,2019,37589
OSBS,407000_3282000,2019,29703
WREF,574000_5081000,2019,26920
BART,319000_4879000,2018,38377
BONA,470000_7228000,2018,49258
BONA,472000_7227000,2019,67480
TEAK,317000_4098000,2019,17913
SOAP,299000_4101000,2019,22643
OSBS,399000_3285000,2018,22607
BONA,483000_7228000,2018,29879
WREF,582000_5071000,2019,28598
BONA,474000_7234000,2019,28519
OSBS,407000_3284000,2018,17258
TEAK,320000_4099000,2019,21603
WREF,582000_5077000,2019,27457
OSBS,395000_3280000,2019,22024
TEAK,324000_4106000,2018,932
OSBS,402000_3288000,2018,5481
SOAP,297000_4098000,2019,23466
BONA,482000_7225000,2018,31307
TEAK,321000_4093000,2018,18357
BART,313000_4877000,2019,39783
DELA,426000_3606000,2019,7602
BONA,479000_7222000,2018,1069
WREF,573000_5074000,2018,28820
BONA,475000_7225000,2018,25850
BONA,476000_7234000,2019,20716
OSBS,404000_3286000,2018,18483
WREF,575000_5079000,2018,29865
BONA,481000_7228000,2019,12856
SOAP,300000_4107000,2019,23216
BART,316000_4882000,2019,32311
BART,320000_4879000,2018,51053
WREF,584000_5078000,2018,18938
DELA,427000_3598000,2019,3632
BART,320000_4877000,2019,38081
SOAP,301000_4098000,2018,16602
BONA,477000_7232000,2018,83844
BONA,475000_7223000,2019,49565
BART,317000_4878000,2019,41288
WREF,586000_5077000,2018,14331
BONA,474000_7226000,2019,41441
BONA,471000_7233000,2019,87352
BONA,474000_7224000,2019,23693
BONA,478000_7233000,2019,70729
BONA,482000_7227000,2018,13373
OSBS,411000_3281000,2019,36676
TEAK,322000_4097000,2019,25130
SOAP,301000_4104000,2019,24904
OSBS,401000_3280000,2018,13785
SOAP,295000_4106000,2019,16401
BONA,480000_7231000,2019,66524
SOAP,304000_4107000,2019,7510
BONA,480000_7223000,2019,2761
TEAK,315000_4103000,2018,13911
BONA,469000_7224000,2018,40091
TEAK,322000_4107000,2018,13600
OSBS,403000_3281000,2018,24248
TEAK,321000_4106000,2019,8519
BONA,478000_7230000,2018,58347
TEAK,317000_4102000,2018,10099
WREF,580000_5072000,2018,19296
BONA,469000_7226000,2018,55233
WREF,582000_5072000,2018,14321
DELA,428000_3596000,2019,4830
WREF,585000_5078000,2018,22017
DELA,423000_3606000,2019,50553
BONA,476000_7230000,2019,15716
WREF,577000_5070000,2019,33526
SOAP,293000_4099000,2019,20387
TEAK,317000_4100000,2018,16520
WREF,577000_5077000,2019,43282
SOAP,299000_4097000,2018,12183
BONA,483000_7223000,2019,5196
BART,321000_4881000,2019,54924
SOAP,298000_4100000,2018,13506
SOAP,294000_4103000,2018,17116
WREF,577000_5075000,2018,21115
DELA,419000_3604000,2019,35999
WREF,582000_5078000,2018,25225
WREF,579000_5073000,2018,25366
WREF,583000_5078000,2018,25840
TEAK,318000_4102000,2018,15046
OSBS,395000_3283000,2018,12828
SOAP,294000_4102000,2019,19387
OSBS,395000_3284000,2019,18250
TEAK,314000_4100000,2019,21510
WREF,578000_5077000,2019,45496
BART,313000_4880000,2019,56516
WREF,580000_5071000,2018,11984
SOAP,298000_4104000,2019,32293
BONA,482000_7225000,2019,35716
WREF,578000_5073000,2018,31682
WREF,571000_5071000,2018,27318
WREF,581000_5076000,2019,26572
BONA,477000_7224000,2018,19729
WREF,575000_5071000,2018,26372
TEAK,320000_4093000,2019,18078
OSBS,409000_3282000,2018,25428
BONA,476000_7226000,2019,30012
WREF,575000_5070000,2019,25666
BART,313000_4882000,2018,34230
OSBS,408000_3280000,2019,31046
WREF,573000_5081000,2018,18831
TEAK,321000_4103000,2019,15726
OSBS,406000_3285000,2018,26792
OSBS,408000_3284000,2019,14791
TEAK,322000_4094000,2018,5627
TEAK,324000_4105000,2018,4904
BONA,483000_7227000,2018,46152
TEAK,313000_4103000,2018,18208
BART,315000_4878000,2018,44147
TEAK,317000_4107000,2018,5266
DELA,427000_3599000,2019,3216
SOAP,297000_4097000,2019,23155
BONA,478000_7225000,2018,9202
WREF,574000_5070000,2018,23024
BART,316000_4874000,2019,38303
TEAK,320000_4105000,2018,10225
WREF,577000_5081000,2019,26135
OSBS,402000_3289000,2018,9360
BONA,481000_7234000,2019,10853
SOAP,302000_4101000,2019,21192
SOAP,300000_4106000,2019,32157
BART,316000_4875000,2018,34515
TEAK,321000_4102000,2019,11810
BONA,474000_7234000,2018,23337
SOAP,302000_4105000,2019,13282
SOAP,300000_4099000,2019,22694
BONA,482000_7232000,2018,14445
BART,322000_4881000,2018,40733
WREF,581000_5072000,2018,19949
SOAP,299000_4100000,2018,12462
BONA,479000_7226000,2018,1064
OSBS,402000_3280000,2018,535
BONA,472000_7229000,2018,78682
DELA,425000_3602000,2019,20320
SOAP,303000_4103000,2019,21344
OSBS,401000_3278000,2018,46391
WREF,570000_5078000,2018,20009
WREF,574000_5076000,2019,33820
SOAP,301000_4096000,2019,15304
OSBS,410000_3279000,2019,28543
WREF,581000_5075000,2018,21365
TEAK,320000_4103000,2019,18143
BART,321000_4874000,2019,31939
BONA,481000_7224000,2018,6189
SOAP,298000_4107000,2019,27766
TEAK,324000_4104000,2019,11788
OSBS,407000_3283000,2019,28766
TEAK,320000_4107000,2018,5093
OSBS,396000_3283000,2018,3840
BONA,477000_7230000,2018,54350
DELA,428000_3601000,2019,3067
TEAK,320000_4100000,2019,14479
SOAP,294000_4098000,2019,12349
SOAP,302000_4102000,2019,28996
BART,320000_4874000,2019,36241
BONA,480000_7223000,2018,1601
WREF,582000_5078000,2019,33661
OSBS,411000_3280000,2019,28306
BONA,474000_7228000,2019,39621
BONA,483000_7222000,2018,2001
WREF,578000_5073000,2019,39564
SOAP,303000_4103000,2018,17551
TEAK,322000_4100000,2019,33930
SOAP,303000_4099000,2019,25769
TEAK,322000_4095000,2018,11105
TEAK,321000_4095000,2019,35802
OSBS,409000_3285000,2018,28727
OSBS,407000_3285000,2018,26649
OSBS,399000_3287000,2019,37336
OSBS,399000_3282000,2018,20236
OSBS,401000_3281000,2019,26625
OSBS,401000_3280000,2019,14395
OSBS,409000_3286000,2019,12559
TEAK,319000_4102000,2019,19484
OSBS,396000_3282000,2019,3746
BONA,480000_7222000,2019,7750
BART,319000_4882000,2018,29579
WREF,580000_5077000,2018,22389
TEAK,318000_4103000,2019,13819
WREF,582000_5079000,2018,32294
OSBS,405000_3278000,2018,19680
TEAK,314000_4094000,2019,25429
OSBS,406000_3282000,2018,16195
WREF,580000_5077000,2019,25717
WREF,574000_5070000,2019,29321
WREF,593000_5077000,2018,27470
SOAP,301000_4108000,2019,24206
TEAK,322000_4105000,2019,12552
WREF,580000_5073000,2018,20779
DELA,419000_3603000,2019,30840
BONA,479000_7223000,2018,8325
BONA,482000_7229000,2019,5234
WREF,579000_5071000,2018,20586
BART,321000_4882000,2019,35175
SOAP,303000_4097000,2019,25510
OSBS,399000_3276000,2019,25518
OSBS,401000_3277000,2018,17973
OSBS,403000_3286000,2018,15749
WREF,590000_5076000,2019,43713
BONA,480000_7224000,2018,11339
BART,319000_4875000,2019,42983
WREF,579000_5078000,2019,33110
SOAP,305000_4100000,2019,22578
TEAK,322000_4093000,2019,13527
DELA,421000_3599000,2019,20215
OSBS,408000_3287000,2018,26465
WREF,572000_5077000,2018,25686
OSBS,399000_3277000,2019,16181
BONA,474000_7225000,2018,31894
TEAK,313000_4094000,2018,14142
WREF,579000_5075000,2019,29256
TEAK,323000_4097000,2019,14458
