Site,geo_index,Year,0
TEAK,316000_4103000,2018,17239
BONA,482000_7224000,2019,3957
OSBS,406000_3284000,2019,25132
BONA,476000_7231000,2019,30928
BONA,480000_7226000,2019,21002
WREF,572000_5080000,2018,14303
WREF,574000_5075000,2018,24835
BART,314000_4882000,2018,35737
DELA,421000_3605000,2019,46509
BART,315000_4882000,2019,32930
WREF,579000_5077000,2019,40534
TEAK,323000_4099000,2019,23619
BART,315000_4881000,2019,37097
OSBS,399000_3284000,2018,18245
BART,314000_4881000,2018,41526
OSBS,407000_3281000,2018,12641
OSBS,409000_3284000,2019,22291
WREF,581000_5081000,2018,21476
OSBS,408000_3289000,2018,16647
BONA,479000_7225000,2019,25685
SOAP,296000_4107000,2019,22769
WREF,574000_5076000,2018,26180
OSBS,402000_3282000,2019,21288
BART,318000_4880000,2019,45537
SOAP,300000_4099000,2018,16381
WREF,588000_5076000,2018,18480
WREF,583000_5076000,2019,32541
BONA,482000_7228000,2019,1412
OSBS,403000_3284000,2018,22458
SOAP,299000_4104000,2018,16740
WREF,577000_5072000,2019,41154
BONA,471000_7229000,2019,56442
OSBS,407000_3285000,2019,30650
TEAK,321000_4104000,2019,18080
OSBS,404000_3277000,2019,32733
TEAK,323000_4104000,2018,18109
BONA,483000_7233000,2019,8760
BART,319000_4877000,2018,41702
BONA,470000_7228000,2019,58195
WREF,587000_5076000,2018,19090
WREF,574000_5073000,2019,40584
BONA,481000_7223000,2018,1044
BART,314000_4875000,2018,30597
TEAK,318000_4103000,2018,12146
OSBS,408000_3285000,2019,26474
OSBS,408000_3286000,2019,30512
OSBS,399000_3278000,2018,16096
BART,322000_4874000,2018,33726
SOAP,303000_4098000,2019,25465
BONA,479000_7234000,2019,17181
WREF,570000_5081000,2018,21433
TEAK,318000_4097000,2019,16511
WREF,575000_5072000,2019,31832
OSBS,402000_3280000,2019,623
WREF,586000_5078000,2018,22508
TEAK,323000_4098000,2019,18342
TEAK,316000_4098000,2018,15283
TEAK,324000_4104000,2018,10967
SOAP,302000_4104000,2018,15724
SOAP,296000_4101000,2019,21014
TEAK,321000_4104000,2018,18404
BONA,480000_7225000,2019,46816
SOAP,299000_4099000,2018,12376
WREF,572000_5072000,2018,27673
BONA,470000_7224000,2018,40796
TEAK,315000_4100000,2019,17662
SOAP,300000_4098000,2019,17054
BONA,480000_7234000,2019,5972
BART,316000_4878000,2018,41107
OSBS,405000_3285000,2018,13506
OSBS,403000_3284000,2019,24821
DELA,419000_3597000,2018,8813
OSBS,408000_3287000,2019,31236
WREF,576000_5078000,2018,26535
BART,320000_4882000,2019,29175
TEAK,315000_4099000,2019,22345
TEAK,320000_4098000,2018,19674
WREF,577000_5072000,2018,32576
WREF,590000_5076000,2018,27047
BONA,469000_7234000,2019,12075
WREF,588000_5075000,2018,19502
OSBS,403000_3285000,2019,31831
WREF,593000_5075000,2018,27985
OSBS,400000_3280000,2019,31557
OSBS,395000_3286000,2019,47137
TEAK,316000_4102000,2018,8485
OSBS,403000_3278000,2019,4485
SOAP,297000_4101000,2018,14652
WREF,573000_5075000,2018,29322
BONA,474000_7228000,2018,36996
WREF,588000_5078000,2019,36724
BART,321000_4880000,2018,43446
SOAP,301000_4097000,2018,7794
WREF,575000_5082000,2019,20800
OSBS,404000_3288000,2018,20687
BART,320000_4880000,2019,45478
TEAK,318000_4092000,2018,14864
OSBS,395000_3287000,2018,28147
BART,319000_4879000,2019,45754
BONA,473000_7224000,2019,20647
SOAP,301000_4100000,2018,19204
DELA,420000_3599000,2019,23333
WREF,579000_5079000,2019,26124
SOAP,302000_4104000,2019,19011
WREF,577000_5074000,2018,26261
BART,318000_4874000,2019,50476
BONA,476000_7231000,2018,35763
WREF,571000_5073000,2018,27692
WREF,576000_5082000,2018,19578
TEAK,317000_4101000,2018,11986
TEAK,317000_4097000,2018,15887
BONA,479000_7224000,2019,36018
SOAP,299000_4103000,2019,19333
WREF,573000_5078000,2018,32250
WREF,576000_5079000,2019,41553
WREF,571000_5079000,2018,32841
SOAP,295000_4101000,2018,16329
OSBS,395000_3282000,2018,4243
BONA,474000_7233000,2019,43368
BART,317000_4881000,2018,36529
SOAP,298000_4105000,2019,30605
WREF,579000_5074000,2019,33303
BONA,473000_7228000,2018,30201
BONA,475000_7229000,2018,61043
WREF,589000_5075000,2019,42931
BONA,472000_7230000,2018,38118
TEAK,316000_4097000,2018,16394
BONA,471000_7224000,2019,83318
TEAK,315000_4099000,2018,16727
BONA,475000_7224000,2018,34832
BONA,478000_7229000,2019,65652
OSBS,400000_3280000,2018,21261
DELA,420000_3597000,2018,11764
TEAK,314000_4100000,2018,16198
BONA,481000_7222000,2019,2753
DELA,426000_3597000,2019,19577
OSBS,405000_3279000,2018,27018
BART,321000_4874000,2018,31830
OSBS,405000_3277000,2019,28590
WREF,594000_5075000,2019,37419
BONA,469000_7233000,2018,46662
WREF,571000_5081000,2018,27605
BONA,470000_7224000,2019,35656
OSBS,403000_3279000,2018,1132
WREF,583000_5081000,2019,41494
BONA,477000_7222000,2018,10696
BONA,477000_7227000,2019,42787
BONA,480000_7233000,2018,21764
OSBS,400000_3284000,2018,26362
WREF,590000_5075000,2018,22000
SOAP,305000_4102000,2019,23406
OSBS,406000_3288000,2019,12650
OSBS,407000_3287000,2018,27023
BONA,471000_7223000,2019,23242
WREF,582000_5073000,2019,22676
SOAP,297000_4107000,2019,25574
DELA,420000_3606000,2019,47080
OSBS,402000_3277000,2019,23141
TEAK,323000_4107000,2018,17899
BONA,479000_7228000,2019,11505
OSBS,410000_3281000,2019,33298
TEAK,319000_4098000,2019,25238
BONA,475000_7222000,2019,37845
WREF,578000_5079000,2019,28252
WREF,583000_5073000,2018,17063
TEAK,323000_4103000,2019,13512
WREF,587000_5078000,2018,18910
OSBS,402000_3283000,2019,19879
BONA,479000_7224000,2018,35022
BONA,472000_7234000,2019,24284
SOAP,296000_4104000,2019,22529
WREF,581000_5072000,2019,29015
DELA,420000_3596000,2018,10490
WREF,590000_5077000,2019,36382
OSBS,396000_3282000,2018,2727
OSBS,400000_3282000,2018,18653
BONA,483000_7225000,2018,16313
BONA,472000_7226000,2018,42388
TEAK,321000_4101000,2019,15811
TEAK,316000_4095000,2018,15874
WREF,576000_5071000,2018,23285
WREF,580000_5071000,2019,27270
SOAP,304000_4099000,2019,23642
OSBS,407000_3280000,2019,25495
BART,322000_4882000,2018,37518
TEAK,322000_4099000,2019,20452
TEAK,320000_4104000,2018,13046
OSBS,408000_3283000,2019,27197
DELA,423000_3599000,2019,37450
TEAK,321000_4096000,2018,22775
BONA,475000_7230000,2018,27857
TEAK,318000_4102000,2019,17277
SOAP,296000_4103000,2018,13073
SOAP,299000_4098000,2019,22348
BONA,477000_7231000,2018,37626
BART,321000_4875000,2019,36062
OSBS,407000_3290000,2018,26701
OSBS,401000_3288000,2018,24124
BART,321000_4877000,2018,38587
WREF,582000_5073000,2018,15906
WREF,580000_5079000,2018,21825
BART,322000_4881000,2019,46526
TEAK,313000_4101000,2018,14318
BART,313000_4876000,2018,35051
OSBS,409000_3283000,2019,38856
BART,319000_4880000,2019,47535
WREF,571000_5072000,2018,26775
TEAK,318000_4106000,2019,10557
SOAP,305000_4104000,2019,20033
OSBS,401000_3282000,2018,22717
OSBS,405000_3289000,2018,17346
WREF,575000_5078000,2018,31387
TEAK,316000_4096000,2019,21355
OSBS,403000_3287000,2019,25989
SOAP,294000_4096000,2019,39236
OSBS,398000_3288000,2019,27869
OSBS,404000_3283000,2019,25839
BONA,479000_7222000,2019,1423
WREF,594000_5075000,2018,25852
WREF,593000_5076000,2018,27344
WREF,576000_5077000,2018,26405
BONA,476000_7224000,2018,49626
WREF,588000_5076000,2019,36898
OSBS,404000_3278000,2019,13467
TEAK,321000_4094000,2019,17739
BONA,479000_7223000,2019,8625
SOAP,300000_4101000,2018,14426
OSBS,399000_3279000,2018,18578
BART,316000_4876000,2018,39492
WREF,590000_5078000,2019,44680
WREF,574000_5072000,2019,32289
OSBS,409000_3286000,2018,11280
BART,320000_4875000,2018,30113
OSBS,408000_3289000,2019,19765
DELA,420000_3601000,2019,25478
OSBS,408000_3286000,2018,28017
OSBS,411000_3282000,2019,41784
OSBS,407000_3280000,2018,16066
TEAK,320000_4095000,2018,17058
TEAK,316000_4107000,2018,8716
BONA,480000_7227000,2019,3900
OSBS,399000_3285000,2019,32034
DELA,424000_3599000,2019,24586
OSBS,404000_3280000,2018,23898
BART,319000_4881000,2019,43060
TEAK,324000_4101000,2019,10379
SOAP,299000_4103000,2018,14378
WREF,578000_5078000,2019,37334
BART,313000_4874000,2018,33275
TEAK,324000_4106000,2019,1202
BART,320000_4879000,2019,64016
BART,315000_4883000,2019,23345
BONA,479000_7226000,2019,1349
OSBS,403000_3279000,2019,1827
TEAK,320000_4106000,2019,4040
OSBS,400000_3284000,2019,34854
SOAP,303000_4102000,2019,28251
SOAP,302000_4098000,2018,19933
TEAK,315000_4093000,2018,15397
TEAK,316000_4101000,2018,5332
OSBS,402000_3283000,2018,17980
BONA,478000_7230000,2019,55270
BART,321000_4876000,2018,38675
BART,313000_4879000,2019,48047
OSBS,395000_3283000,2019,15549
WREF,571000_5082000,2018,25228
SOAP,295000_4100000,2019,19770
SOAP,303000_4106000,2019,17038
BART,319000_4874000,2018,40710
OSBS,406000_3283000,2018,26773
SOAP,297000_4100000,2018,11634
WREF,586000_5075000,2018,21840
BONA,478000_7234000,2019,37122
TEAK,314000_4098000,2018,16579
SOAP,297000_4101000,2019,19714
OSBS,395000_3285000,2018,31951
TEAK,321000_4100000,2018,18261
OSBS,406000_3289000,2018,11893
WREF,573000_5071000,2018,23302
DELA,423000_3603000,2019,26371
OSBS,408000_3288000,2019,30737
DELA,427000_3603000,2019,12885
WREF,582000_5074000,2019,31277
TEAK,320000_4096000,2019,38866
TEAK,321000_4094000,2018,14202
OSBS,410000_3283000,2019,45873
TEAK,323000_4100000,2018,27237
WREF,577000_5076000,2019,49978
WREF,579000_5082000,2019,30794
OSBS,409000_3289000,2018,16227
WREF,587000_5077000,2018,20719
DELA,420000_3597000,2019,14328
DELA,423000_3602000,2019,30283
TEAK,319000_4106000,2019,11226
BONA,478000_7226000,2019,387
BART,318000_4876000,2019,41056
SOAP,300000_4097000,2019,21808
TEAK,317000_4099000,2018,17004
OSBS,397000_3281000,2019,11364
OSBS,399000_3283000,2018,11813
SOAP,298000_4105000,2018,20135
OSBS,409000_3285000,2019,31374
SOAP,297000_4097000,2018,12465
BONA,477000_7228000,2019,44812
TEAK,313000_4096000,2019,21901
DELA,422000_3600000,2019,28485
BONA,475000_7229000,2019,58967
OSBS,408000_3281000,2019,44116
SOAP,297000_4096000,2019,21071
WREF,588000_5077000,2018,22637
SOAP,302000_4100000,2019,19228
SOAP,301000_4096000,2018,6826
BONA,472000_7233000,2018,92219
SOAP,296000_4100000,2018,12862
WREF,593000_5078000,2018,24539
WREF,576000_5070000,2019,24615
BART,313000_4882000,2019,36760
WREF,580000_5081000,2018,20076
DELA,428000_3604000,2019,26993
SOAP,303000_4102000,2018,22537
WREF,580000_5078000,2018,22444
BART,318000_4875000,2018,36256
OSBS,405000_3281000,2019,33811
OSBS,404000_3284000,2018,22917
SOAP,296000_4096000,2018,11894
BONA,480000_7232000,2019,68851
BONA,477000_7229000,2019,55922
BONA,469000_7222000,2018,44660
TEAK,316000_4100000,2018,12176
DELA,428000_3603000,2019,11652
WREF,576000_5070000,2018,23069
BART,313000_4874000,2019,36653
BONA,471000_7232000,2019,70543
WREF,590000_5074000,2019,31387
TEAK,321000_4091000,2018,17494
BONA,478000_7224000,2018,14768
WREF,574000_5082000,2018,18118
OSBS,401000_3278000,2019,42622
WREF,588000_5078000,2018,17591
OSBS,406000_3282000,2019,27847
BONA,473000_7234000,2018,31009
BONA,478000_7223000,2018,25435
WREF,576000_5081000,2018,19721
WREF,572000_5081000,2018,22742
TEAK,313000_4093000,2018,13808
BONA,482000_7233000,2018,12697
TEAK,315000_4097000,2019,20700
BONA,478000_7224000,2019,14994
SOAP,302000_4103000,2019,29478
TEAK,315000_4101000,2019,13308
BONA,476000_7232000,2019,80651
DELA,428000_3598000,2019,10799
TEAK,314000_4104000,2018,24989
TEAK,316000_4093000,2018,10919
BONA,474000_7230000,2018,38456
WREF,571000_5077000,2018,17055
WREF,580000_5072000,2019,30795
TEAK,323000_4106000,2018,17797
DELA,428000_3600000,2019,6008
TEAK,324000_4100000,2018,12528
TEAK,314000_4105000,2018,17847
OSBS,400000_3282000,2019,24466
SOAP,296000_4101000,2018,16371
OSBS,403000_3278000,2018,3089
WREF,581000_5075000,2019,29638
OSBS,407000_3282000,2018,16448
OSBS,405000_3286000,2019,366
WREF,574000_5071000,2019,34348
OSBS,399000_3281000,2019,23545
TEAK,320000_4097000,2019,34051
BONA,475000_7227000,2019,20556
TEAK,324000_4096000,2018,7624
SOAP,293000_4101000,2019,16070
SOAP,296000_4102000,2019,16947
BONA,481000_7233000,2018,36914
SOAP,299000_4102000,2018,12281
TEAK,317000_4095000,2018,10842
BONA,476000_7233000,2019,60373
BART,321000_4878000,2018,42400
WREF,583000_5077000,2019,30762
DELA,426000_3605000,2019,15482
DELA,424000_3600000,2019,29006
BART,313000_4875000,2019,42728
OSBS,405000_3277000,2018,18631
WREF,583000_5077000,2018,22050
WREF,581000_5077000,2019,26109
TEAK,324000_4099000,2018,6839
BONA,478000_7227000,2018,12641
BART,320000_4874000,2018,35269
DELA,421000_3597000,2019,10246
BART,316000_4877000,2018,45148
BART,321000_4877000,2019,41411
TEAK,324000_4100000,2019,15539
SOAP,304000_4104000,2019,17923
SOAP,304000_4105000,2019,13664
TEAK,317000_4093000,2019,19959
BONA,480000_7228000,2019,37549
OSBS,405000_3287000,2018,12355
BONA,473000_7226000,2018,38680
DELA,428000_3602000,2019,9241
BART,315000_4875000,2019,38261
SOAP,297000_4098000,2018,11626
BONA,477000_7232000,2019,83070
BONA,472000_7223000,2019,35465
WREF,572000_5076000,2018,25564
BONA,470000_7230000,2018,42559
OSBS,400000_3288000,2018,37326
DELA,424000_3601000,2019,22819
TEAK,320000_4094000,2018,20579
BONA,469000_7231000,2019,27229
SOAP,299000_4108000,2019,17148
WREF,578000_5076000,2019,44280
SOAP,295000_4099000,2019,26361
SOAP,294000_4105000,2018,13966
TEAK,324000_4105000,2019,4922
WREF,571000_5078000,2018,30797
OSBS,402000_3285000,2019,27034
BONA,469000_7229000,2018,57754
TEAK,317000_4102000,2019,11250
OSBS,405000_3278000,2019,31159
TEAK,320000_4092000,2018,12376
TEAK,319000_4106000,2018,12287
DELA,422000_3606000,2019,41170
TEAK,316000_4098000,2019,20904
OSBS,405000_3288000,2019,21413
BONA,483000_7229000,2019,1265
TEAK,314000_4097000,2018,17659
BONA,483000_7227000,2019,44761
BART,316000_4881000,2019,37138
BONA,480000_7227000,2018,3249
BONA,479000_7232000,2018,60553
WREF,579000_5072000,2018,23789
OSBS,404000_3279000,2019,25294
OSBS,406000_3287000,2018,31231
OSBS,409000_3287000,2018,15225
BONA,470000_7223000,2019,24282
TEAK,318000_4107000,2018,5064
BONA,470000_7222000,2018,25273
BONA,483000_7222000,2019,3464
OSBS,399000_3288000,2019,45837
BONA,482000_7223000,2018,577
BART,320000_4881000,2018,31265
SOAP,296000_4099000,2018,16114
BONA,474000_7223000,2019,53399
OSBS,403000_3280000,2018,1353
WREF,591000_5078000,2019,38030
OSBS,408000_3282000,2018,21680
WREF,575000_5082000,2018,17957
SOAP,302000_4099000,2018,18274
BONA,471000_7227000,2019,63188
TEAK,319000_4103000,2019,16113
TEAK,323000_4098000,2018,13903
BONA,474000_7222000,2018,31254
BART,314000_4879000,2019,45502
SOAP,299000_4096000,2019,39044
OSBS,395000_3285000,2019,37835
WREF,576000_5080000,2018,21065
WREF,581000_5073000,2018,13957
BART,319000_4881000,2018,36063
WREF,571000_5076000,2018,24550
WREF,583000_5081000,2018,23501
OSBS,395000_3281000,2018,12013
BONA,470000_7230000,2019,44355
TEAK,318000_4091000,2018,15561
OSBS,403000_3276000,2019,25192
OSBS,401000_3283000,2019,23845
BART,313000_4877000,2018,37445
BONA,471000_7226000,2018,51468
TEAK,317000_4103000,2018,15396
TEAK,315000_4104000,2019,27702
OSBS,404000_3278000,2018,8890
BONA,483000_7226000,2018,48183
BONA,470000_7226000,2019,79896
TEAK,315000_4107000,2018,9605
OSBS,398000_3286000,2018,18790
DELA,423000_3604000,2019,36072
BONA,476000_7228000,2019,37006
TEAK,316000_4107000,2019,5125
SOAP,298000_4098000,2018,10572
WREF,572000_5071000,2018,26430
BONA,482000_7228000,2018,960
WREF,572000_5075000,2018,21722
TEAK,316000_4094000,2019,15953
OSBS,407000_3281000,2019,24436
WREF,571000_5080000,2018,19253
TEAK,320000_4101000,2018,13985
OSBS,400000_3278000,2018,27566
BONA,479000_7230000,2019,47158
TEAK,319000_4103000,2018,15113
TEAK,319000_4095000,2019,11146
OSBS,400000_3279000,2019,29889
WREF,592000_5075000,2018,27980
WREF,582000_5079000,2019,41743
TEAK,314000_4101000,2018,17376
TEAK,315000_4104000,2018,25275
OSBS,405000_3288000,2018,15858
OSBS,404000_3280000,2019,33224
SOAP,302000_4098000,2019,25360
WREF,585000_5075000,2018,24659
SOAP,296000_4098000,2019,21710
BART,322000_4877000,2019,48468
TEAK,317000_4105000,2019,10706
WREF,577000_5080000,2019,27449
WREF,582000_5080000,2019,31914
TEAK,318000_4099000,2019,16140
TEAK,320000_4091000,2018,12377
OSBS,398000_3283000,2018,13343
WREF,580000_5076000,2018,21393
TEAK,319000_4097000,2019,30783
SOAP,298000_4103000,2019,21226
WREF,590000_5075000,2019,39785
OSBS,403000_3283000,2018,18304
SOAP,297000_4103000,2019,16977
WREF,584000_5076000,2018,23741
BONA,480000_7222000,2018,3834
DELA,422000_3602000,2019,34868
OSBS,401000_3276000,2019,27153
OSBS,407000_3288000,2019,31825
TEAK,319000_4102000,2018,16898
BONA,482000_7234000,2019,11563
SOAP,300000_4102000,2018,14892
TEAK,314000_4093000,2019,19527
WREF,579000_5081000,2019,27840
BONA,470000_7229000,2019,71742
BART,322000_4876000,2019,46073
OSBS,406000_3280000,2018,17414
WREF,574000_5071000,2018,25227
BART,318000_4882000,2018,27869
OSBS,409000_3279000,2018,17761
BONA,477000_7223000,2018,32521
WREF,583000_5071000,2019,24737
OSBS,403000_3282000,2019,14748
SOAP,295000_4102000,2018,18504
OSBS,401000_3289000,2019,22816
TEAK,318000_4096000,2018,13050
TEAK,318000_4104000,2018,14622
OSBS,404000_3289000,2018,24772
BONA,473000_7227000,2019,32030
BONA,478000_7225000,2019,10475
TEAK,317000_4097000,2019,22148
OSBS,397000_3284000,2018,13683
SOAP,305000_4105000,2019,16727
SOAP,294000_4104000,2018,15061
OSBS,407000_3288000,2018,23404
BONA,476000_7228000,2018,36565
OSBS,406000_3292000,2019,27089
TEAK,322000_4101000,2019,24980
OSBS,400000_3281000,2019,31086
WREF,574000_5078000,2018,15324
TEAK,318000_4097000,2018,12062
WREF,591000_5076000,2018,19443
BONA,472000_7226000,2019,43478
SOAP,301000_4103000,2019,24323
OSBS,408000_3281000,2018,24522
SOAP,298000_4097000,2019,24401
BONA,473000_7222000,2018,47630
SOAP,296000_4102000,2018,12751
OSBS,401000_3279000,2019,27603
OSBS,402000_3281000,2019,16587
BONA,480000_7234000,2018,4061
OSBS,399000_3280000,2018,15939
BART,313000_4881000,2019,42752
BART,318000_4878000,2019,53484
TEAK,315000_4094000,2018,14352
OSBS,403000_3280000,2019,1733
BART,313000_4879000,2018,42107
BONA,481000_7225000,2018,47460
BART,316000_4882000,2018,28604
BONA,479000_7225000,2018,23947
BONA,472000_7232000,2018,105478
WREF,579000_5073000,2019,34257
BONA,470000_7225000,2019,46196
WREF,575000_5078000,2019,38429
BART,316000_4879000,2018,32919
BART,314000_4881000,2019,48305
WREF,574000_5082000,2019,24168
BART,318000_4877000,2019,53250
WREF,591000_5077000,2019,35129
TEAK,318000_4095000,2019,17593
WREF,575000_5081000,2019,17627
TEAK,314000_4092000,2019,19468
OSBS,399000_3279000,2019,25736
OSBS,395000_3287000,2019,36626
OSBS,409000_3288000,2018,26960
WREF,578000_5074000,2019,34650
OSBS,406000_3288000,2018,9517
BART,317000_4879000,2018,33139
WREF,589000_5076000,2018,18377
BART,317000_4875000,2018,34144
BART,322000_4873000,2019,32395
OSBS,404000_3277000,2018,20756
WREF,577000_5078000,2019,38252
WREF,580000_5074000,2019,25321
OSBS,396000_3287000,2018,14886
OSBS,409000_3280000,2019,39731
WREF,583000_5080000,2018,30616
WREF,577000_5071000,2018,26743
BART,321000_4876000,2019,41243
DELA,420000_3603000,2019,31792
OSBS,397000_3281000,2018,8012
WREF,572000_5073000,2018,22186
TEAK,320000_4106000,2018,4242
BONA,482000_7230000,2018,9594
BART,321000_4882000,2018,31579
DELA,427000_3600000,2019,2193
DELA,428000_3605000,2019,40382
BONA,470000_7232000,2018,47608
SOAP,300000_4098000,2018,14427
SOAP,298000_4099000,2018,15138
BONA,479000_7231000,2018,50384
TEAK,323000_4099000,2018,18125
BONA,482000_7234000,2018,11154
TEAK,322000_4095000,2019,13659
OSBS,395000_3279000,2019,26049
BONA,478000_7228000,2018,47137
OSBS,404000_3289000,2019,33337
SOAP,304000_4108000,2019,4943
SOAP,296000_4098000,2018,10096
BART,322000_4882000,2019,41756
DELA,422000_3597000,2019,18042
BART,315000_4876000,2018,41524
BART,319000_4878000,2018,48546
DELA,422000_3598000,2019,23635
BART,313000_4881000,2018,37435
WREF,580000_5082000,2019,35147
TEAK,323000_4105000,2018,21279
BONA,481000_7226000,2019,37690
BART,319000_4876000,2018,31988
TEAK,319000_4100000,2018,14243
TEAK,320000_4103000,2018,15722
WREF,578000_5082000,2018,20808
WREF,577000_5080000,2018,18266
OSBS,400000_3278000,2019,35639
WREF,576000_5072000,2019,26489
BART,314000_4876000,2019,37104
TEAK,318000_4104000,2019,12954
OSBS,401000_3284000,2019,19263
WREF,576000_5074000,2018,29513
WREF,583000_5074000,2018,17180
TEAK,314000_4094000,2018,18607
BONA,476000_7222000,2018,29877
WREF,578000_5080000,2018,23205
WREF,573000_5073000,2018,21940
BONA,477000_7234000,2018,37396
BART,319000_4877000,2019,51085
BONA,474000_7231000,2019,72312
SOAP,295000_4099000,2018,13922
OSBS,405000_3284000,2019,29228
OSBS,398000_3281000,2018,8273
OSBS,401000_3289000,2018,22233
OSBS,404000_3281000,2018,32379
BONA,471000_7230000,2019,54645
TEAK,322000_4104000,2019,17257
TEAK,318000_4099000,2018,12304
TEAK,314000_4098000,2019,21467
TEAK,316000_4096000,2018,15863
TEAK,322000_4100000,2018,29134
WREF,580000_5075000,2018,18969
